metric_id,raw_score,definition
C1,0,Нет публичного подтверждения работы с Wildberries или поставками на склад WB
C1,1,Есть общий фулфилмент для маркетплейсов без подтвержденного FBW/FBO сценария
C1,2,Wildberries заявлен но поставочный процесс FBO/FBW раскрыт слабо
C1,3,FBO/FBW подтвержден и описан базовый процесс
C1,4,Есть отдельная WB/FBO страница и полный цикл подготовки поставки
C1,5,Есть явная специализация FBW/FBO Wildberries и детально раскрытый end-to-end процесс
C2,0,Доставка на склады WB публично не подтверждена
C2,1,Есть общая формулировка о доставке на маркетплейсы
C2,2,Названы 1–2 склада WB или регулярность не раскрыта
C2,3,Названы 3–4 направления либо подтверждены регулярные рейсы по Москве и МО
C2,4,Названы 5 и более направлений либо есть широкая региональная доставка и частота рейсов
C2,5,Опубликована широкая именованная сеть с графиком тарифами или сопоставимой маршрутной детализацией
C3,0,Упаковка и маркировка не подтверждены
C3,1,Заявлена общая упаковка
C3,2,Есть базовая упаковка или штрихкодирование
C3,3,Подтверждены упаковка по требованиям WB и маркировка
C3,4,Есть несколько форматов упаковки Честный знак или КИЗ и контроль качества
C3,5,Есть системный скан-контроль маркировки несколько упаковочных форматов и категорийные или регуляторные контроли
C4,0,Формирование грузовых мест не подтверждено
C4,1,Есть только общая отгрузка
C4,2,Подтверждены только короба либо только паллеты
C4,3,Подтверждены и короба и паллеты
C4,4,Короба и паллеты плюс маркировка грузомест документы или явный процесс формирования
C4,5,Короба и паллеты плюс подробная механика формирования паллетирования и тарифы или нормы грузомест
C5,0,Цифровая прозрачность не подтверждена
C5,1,Заявлена информационная система без деталей
C5,2,Есть базовый учет или фото-видео отчетность
C5,3,Есть WMS или личный кабинет со статусами и остатками
C5,4,Есть собственная или интегрированная WMS плюс сканирование статусы или формальный контроль
C5,5,Есть глубокие системные контроли: scan gates валидация кодов API аудит история операций или сопоставимый набор
C6,0,Сроки и масштаб не подтверждены
C6,1,Есть только общая формулировка о скорости
C6,2,Опубликован обычный SLA без сильной числовой мощности
C6,3,Есть SLA до 48–72 часов либо числовой показатель мощности или объема
C6,4,Есть одновременно SLA и числовой масштаб или несколько подтверждений крупного потока
C6,5,Есть сильная числовая производительность и доказательство работы с крупным потоком или партиями
C7,0,Публичных цен нет
C7,1,Есть одна ориентировочная ставка от
C7,2,Опубликованы цены нескольких базовых операций
C7,3,Есть набор ставок обработки и/или диапазон FBO логистики
C7,4,Есть широкий прайс или калькулятор включая доставку
C7,5,Есть детальный WB-специфичный прайс обработки и маршрутные или грузоместные тарифы достаточные для оценки сценария
C8,0,Релевантных публичных подтверждений нет
C8,1,Есть только отзывы или общие обещания
C8,2,Есть общие числовые факты компании или масштаб без измеримого релевантного кейса
C8,3,Есть числовые операционные показатели или один частично релевантный кейс
C8,4,Есть измеримый релевантный кейс либо несколько сильных операционных подтверждений
C8,5,Есть несколько измеримых FBW или крупных поставочных примеров с объемом сроком и результатом
