participant,C1,C2,C3,C4,C5,C6,C7,C8,final_score,rank,status
Преп-Центр,5,5,5,5,4,5,5,5,98,1,FROZEN
FullMark,5,5,5,5,4,4,5,4,94,2,FROZEN
Будет сделано!,5,4,5,5,5,5,4,4,92,3,FROZEN
UPMARKET,4,4,5,5,5,5,5,4,91,4,FROZEN
Нитропак,5,5,5,5,4,3,5,3,90,5,FROZEN
LOGIDEX,5,5,5,4,4,4,5,3,90,6,FROZEN
Fulllog,5,5,5,5,3,3,5,3,88,7,FROZEN
PACK4RU,5,5,5,5,2,3,5,3,86,8,FROZEN
Lipakyem,4,5,5,4,3,4,4,3,83,9,FROZEN
Full-Fix,5,4,5,5,5,4,1,3,82,10,FROZEN
WBBK,5,3,5,5,4,4,5,2,82,11,FROZEN
ФуллБокс,5,3,5,4,5,4,4,3,82,12,FROZEN
Родной Дом,4,5,5,5,2,3,5,2,81,13,FROZEN
Helpberries,5,4,5,5,4,3,1,4,80,14,FROZEN
Packpost,5,4,5,5,3,2,5,2,80,15,FROZEN
Yunu,5,3,5,4,5,3,4,3,80,16,FROZEN
СДЭК Фулфилмент,4,5,3,3,4,4,4,2,75,17,FROZEN
Fulfilment-E,4,3,4,4,4,5,3,3,74,18,FROZEN
