source_id,participant,title,url,source_type,evidence_class,checked_at,notes
S001,Wildberries,Модель продаж «Склад WB» (FBW),https://seller.wildberries.ru/instructions/ru/ru/category/orders-management-with-fbw-model,official_marketplace,primary,2026-09-19,Официальная терминология модели
S002,Wildberries,Как упаковывать товары для FBW,https://seller.wildberries.ru/instructions/ru/ru/material/how-to-pack-items-in-fbw,official_marketplace,primary,2026-09-19,Контекст упаковки
S003,Wildberries,Маркировка товара и поставок,https://seller.wildberries.ru/instructions/ru/ru/material/items-and-shipment-labling-like-barcode-and-others,official_marketplace,primary,2026-09-19,Контекст маркировки
S004,Wildberries,Создание и планирование поставок FBW,https://seller.wildberries.ru/instructions/ru/ru/subcategory/how-to-schedule-and-create-shipments-in-fbw,official_marketplace,primary,2026-09-19,Контекст поставки и слотов
S005,Преп-Центр,FBW FBO поставки на Wildberries,https://prep-center.ru/fbo-wildberries/,operator_service,primary_operator,2026-09-19,Полный цикл маршруты тарифы и кейсы
S006,Преп-Центр,Тарифы и график отгрузок,https://prep-center.ru/tarify/,operator_pricing,primary_operator,2026-09-19,129 услуг и логистика
S007,Преп-Центр,О компании и мощности,https://prep-center.ru/about/,operator_company,primary_operator,2026-09-19,Площадь и производительность
S008,Преп-Центр,Кейс косметики 8400 единиц за 2 дня,https://prep-center.ru/cases/kosmetika-8400-za-2-dnya/,operator_case,primary_operator,2026-09-19,Измеримый кейс крупной партии
S009,Преп-Центр,Кейс автохимии 2393 набора за 2 дня,https://prep-center.ru/cases/avtohimiya-2393-nabora-za-2-dnya/,operator_case,primary_operator,2026-09-19,Измеримый кейс
S010,FullMark,Фулфилмент FBO FBW,https://full-mark.ru/,operator_service,primary_operator,2026-09-19,FBW Wildberries ERM статусы и контроль
S011,FullMark,Прайс и доставка на склады,https://full-mark.ru/prices/,operator_pricing,primary_operator,2026-09-19,Именованные маршруты частота и тарифы
S012,Будет сделано!,Фулфилмент для Wildberries,https://willbedone.pro/fulfilment-dlya-wildberries/,operator_service,primary_operator,2026-09-19,FBO WMS сканирование мощность
S013,Будет сделано!,Фулфилмент FBO,https://willbedone.pro/fulfilment-fbo/,operator_service,primary_operator,2026-09-19,FBO-процесс и операционные показатели
S014,UPMARKET,Фулфилмент Wildberries Москва,https://www.upmarket.cc/fulfilment-vb-moskva,operator_service,primary_operator,2026-09-19,FBO FBS срок и масштаб
S015,UPMARKET,Цены фулфилмента Wildberries,https://www.upmarket.cc/fulfilment-dlya-vayldberriz-tsena-v-moskve,operator_pricing,primary_operator,2026-09-19,Цены и полный цикл
