claim_id,participant,metric_ids,claim,source_ids,evidence_type,status
CL001,Wildberries,,Официальное название складской модели Wildberries — «Склад WB» (FBW),S001,official_marketplace,VERIFIED
CL002,Wildberries,C3,Wildberries публикует отдельные требования к упаковке и маркировке FBW-поставок,S002|S003,official_marketplace,VERIFIED
CL003,Преп-Центр,C1|C2|C4,Опубликован отдельный FBW/FBO процесс с 18 направлениями Wildberries и коробно-паллетной логистикой,S005,operator_claim,VERIFIED
CL004,Преп-Центр,C7,Опубликованы ставки обработки и маршрутные тарифы Wildberries,S005|S006,operator_claim,VERIFIED
CL005,Преп-Центр,C6|C8,Опубликованы производительность до 20000 единиц за 12-часовую смену и измеримые кейсы партий,S005|S007|S008|S009,operator_claim,VERIFIED
CL006,Преп-Центр,C3|C5,Подтверждены маркировка Честный знак несколько форматов упаковки и WMS,S005,operator_claim,VERIFIED
CL007,FullMark,C1|C5,FullMark прямо называет модель FBW Wildberries и показывает ERM со статусами и контролями,S010,operator_claim,VERIFIED
CL008,FullMark,C2|C4|C7,Прайс содержит ежедневные маршруты на Коледино Электросталь Обухово Подольск и региональные направления с тарифами коробов и паллет,S011,operator_claim,VERIFIED
CL009,FullMark,C6|C8,Публичный интерфейс показывает числовой пример партии и статусы подготовки поставки,S010,operator_claim,VERIFIED
CL010,Будет сделано!,C1|C3|C5,Подтверждены FBO Wildberries Celicom WMS сканирование на этапах и API-проверки маркировки,S012|S013,operator_claim,VERIFIED
CL011,Будет сделано!,C6|C8,Заявлены 99.94% точности на 250000 единиц и мощность 5000 единиц в день,S012|S013,operator_claim,VERIFIED
CL012,Будет сделано!,C2,Подтверждена организация FBO поставок на склады Wildberries но публичная маршрутная сетка менее детальна чем у лидеров C2,S012|S013,operator_claim,VERIFIED
CL013,UPMARKET,C1|C6,Подтверждены FBO/FBS полный цикл до 3 дней и работа от 5000 единиц в месяц,S014|S015,operator_claim,VERIFIED
CL014,UPMARKET,C5,Опубликованы технологические и операционные контроли фулфилмента,S014,operator_claim,VERIFIED
CL015,Нитропак,C1|C3|C5,Отдельная услуга Wildberries FBO включает обработку маркировку WMS и прозрачные статусы,S016,operator_claim,VERIFIED
CL016,Нитропак,C2|C4|C7,Опубликованы прямые рейсы тарифы паллет и несколько направлений WB,S017|S018,operator_claim,VERIFIED
CL017,LOGIDEX,C1|C3|C6,LOGIDEX публикует FBO/FBS Wildberries упаковку Честный знак и стандартный срок 48 часов,S019,operator_claim,VERIFIED
CL018,LOGIDEX,C2,Заявлены ежедневные отгрузки на склады в радиусе 200 км и региональные рейсы по графику,S019,operator_claim,VERIFIED
CL019,LOGIDEX,C7,Опубликован пооперационный прайс и пример расчета 1000 единиц,S019,operator_claim,VERIFIED
CL020,Fulllog,C1|C2|C4,Опубликованы FBO поставки на конкретные склады WB коробами и паллетами включая региональные направления,S020,operator_claim,VERIFIED
CL021,Fulllog,C7,Опубликован подробный пооперационный и маршрутный прайс,S020,operator_claim,VERIFIED
